state,county,latitude,longitude,fips,total_population_20,incarcerated_20,percent_incarcerated_20,total_population_10,incarcerated_10,percent_incarcerated_10,total_population_00,incarcerated_00,percent_incarcerated_00
MA,Barnstable County,41.6990958,-70.3209113,25001,228996,213,0.09301472515,215888,438,0.2028829764,222230,266,0.1196958106
MA,Berkshire County,42.311782,-73.1821623,25003,129026,188,0.1457070668,131219,352,0.2682538352,134953,279,0.2067386423
MA,Bristol County,41.7938406,-71.1448516,25005,579200,885,0.1527969613,548285,1318,0.2403859307,534678,1058,0.1978761049
MA,Dukes County,41.4039539,-70.6692655,25007,20600,15,0.07281553398,16535,30,0.1814333233,14987,34,0.2268632815
MA,Essex County,40.7947466,-74.2648829,25009,809829,2118,0.2615366948,743159,1431,0.1925563708,723419,1574,0.2175779182
MA,Franklin County,40.0154745,-82.9931607,25011,71029,318,0.4477044587,71372,176,0.2465953035,71535,180,0.2516250786
MA,Hampden County,42.1172314,-72.6624209,25013,465825,1031,0.2213277518,463490,1544,0.3331247708,456228,1888,0.4138281736
MA,Hampshire County,42.3471357,-72.6624209,25015,162308,143,0.08810409838,158080,250,0.1581477733,152251,245,0.1609184833
MA,Middlesex County,40.4111363,-74.3587473,25017,1632002,3109,0.1905022175,1503085,4429,0.2946606479,1465396,4410,0.3009425439
MA,Nantucket County,41.2834704,-70.099451,25019,14255,0,0,10172,0,0,9520,0,0
MA,Norfolk County,42.17668,-71.1448516,25021,725981,2381,0.3279700157,670850,3612,0.5384214057,650308,3213,0.4940735774
MA,Plymouth County,42.776665,-96.1526985,25023,530819,2667,0.5024311488,494919,3576,0.7225424766,472822,3765,0.7962827449
MA,Suffolk County,40.9848784,-72.6151169,25025,797936,915,0.1146708508,722023,2622,0.3631463264,689807,2483,0.3599557557
MA,Worcester County,38.1584227,-75.4344727,25027,862111,3986,0.4623534556,798552,4905,0.6142367686,750963,4118,0.5483625691
CT,Fairfield County,39.830506,-82.6483442,9001,957419,2492,0.2602831153,916829,3108,0.3389945126,882567,2900,0.3285869515
CT,Hartford County,41.7924343,-72.8042797,9003,899498,5040,0.5603125299,894014,6842,0.7653124,857183,5937,0.6926175624
CT,Litchfield County,41.7866294,-73.2765361,9005,185186,21,0.0113399501,189927,28,0.01474250633,182193,0,0
CT,Middlesex County,40.4111363,-74.3587473,9007,164245,28,0.01704770313,165676,14,0.008450228156,155071,0,0
CT,New Haven County,41.3266911,-72.8042797,9009,864835,2239,0.2588933149,862477,2603,0.3018051496,824008,4172,0.506305764
CT,New London County,41.5185189,-72.0468164,9011,268555,2023,0.7532907598,274055,3625,1.32272719,259088,3710,1.431945903
CT,Tolland County,41.8418987,-72.3784679,9013,149788,1300,0.8678932892,152691,3356,2.197902954,136364,2762,2.025461265
CT,Windham County,41.8275622,-72.0468164,9015,116418,438,0.3762304798,118428,483,0.4078427399,109091,542,0.4968329193
WV,Barbour County,39.1398692,-80.0087746,54001,15465,0,0,16589,0,0,15557,6,0.03856784727
WV,Berkeley County,33.1260618,-80.0087746,54003,122076,515,0.4218683443,104169,122,0.1171173766,75905,261,0.3438508662
WV,Boone County,40.0106163,-86.4996546,54005,21809,0,0,24629,0,0,25535,0,0
WV,Braxton County,38.7023371,-80.7214417,54007,12447,370,2.97260384,14523,267,1.838463127,14702,468,3.183240375
WV,Brooke County,40.2697757,-80.5660657,54009,22559,0,0,24069,0,0,25447,0,0
WV,Cabell County,38.4391927,-82.2583297,54011,94350,621,0.6581875994,96319,607,0.6301975726,96784,246,0.2541742437
WV,Calhoun County,42.2073905,-85.023346,54013,6229,0,0,7627,0,0,7582,0,0
WV,Clay County,29.9943564,-81.7787021,54015,8051,0,0,9386,0,0,10330,0,0
WV,Doddridge County,39.2367791,-80.6770787,54017,7808,1127,14.43391393,8202,567,6.912948061,7403,0,0
WV,Fayette County,33.4502206,-84.4802606,54019,40488,1058,2.613119937,46039,1042,2.263298508,47579,997,2.095462284
WV,Gilmer County,34.6935359,-84.4802606,54021,7408,1440,19.43844492,8693,1773,20.39572069,7160,0,0
WV,Grant County,47.1981147,-119.3732456,54023,10976,0,0,11937,0,0,11299,0,0
WV,Greenbrier County,38.0198478,-80.543845,54025,32977,0,0,35480,213,0.6003382187,34453,116,0.336690564
WV,Hampshire County,42.3471357,-72.6624209,54027,23093,251,1.086909453,23964,263,1.097479553,20203,109,0.5395238331
WV,Hancock County,39.8249915,-85.8486236,54029,29095,0,0,30676,0,0,32667,12,0.03673431904
WV,Hardy County,39.0416116,-78.9288242,54031,14299,0,0,14025,0,0,12669,0,0
