state,fips,latitude,longitude,total_state_pop_20,total_incarcerated_20,incarceration_rate_20,pct_incarcerated_20,total_state_pop_10,total_incarcerated_10,incarceration_rate_10,pct_incarcerated_10,total_state_pop_00,total_incarcerated_00,incarceration_rate_00,pct_incarcerated_00
Alabama,1,32.3182314,-86.902298,5024279,39749,791.1384,0.7911384,4779736,41177,861.4911,0.8614911,4447100,33542,925.9293,0.9259293
Alaska,2,64.2008413,-149.4936733,700421,4833,690.0136,0.6900136,678275,4204,619.8076,0.6198076,593443,3327,708.4084,0.7084084
Arizona,4,34.0489281,-111.0937311,7151502,64154,897.0703,0.8970703,6392017,67767,1060.182,1.060182,5130632,45783,1320.831,1.320831
Arkansas,5,35.20105,-91.8318334,3011524,27079,899.1793,0.8991793,2915918,25844,886.3075,0.8863075,2673400,20565,966.7091,0.9667091
California,6,36.778261,-119.4179324,39538223,201570,509.8105,0.5098105,37253956,256807,689.3416,0.6893416,33871648,248516,758.1769,0.7581769
Colorado,8,39.5500507,-105.7820674,5699602,32220,565.3026,0.5653026,4973307,40496,814.267,0.814267,4301261,30136,941.4913,0.9414913
Connecticut,9,41.6032207,-73.087749,3605944,13581,376.6281,0.3766281,3574097,20059,561.2327,0.5612327,3405565,20023,589.0065,0.5890065
Delaware,10,38.9108325,-75.5276699,989948,4801,484.975,0.484975,897934,6457,719.0952,0.7190952,783600,5965,824.0174,0.8240174
Florida,12,27.6648274,-81.5157535,21538187,149333,693.3406,0.6933406,18801310,167453,890.6454,0.8906454,15982378,139148,1047.735,1.047735
Georgia,13,33.247875,-83.441162,10711908,91932,858.2225,0.8582225,9687653,104012,1073.655,1.073655,8186453,81773,1270.538,1.270538
Hawaii,15,19.8967662,-155.5827818,1455271,3752,257.8214,0.2578214,1360301,5673,417.0401,0.4170401,1211537,3233,468.2482,0.4682482
Idaho,16,44.0682019,-114.7420408,1839106,10931,594.3649,0.5943649,1567582,11275,719.2606,0.7192606,1293953,7401,871.3609,0.8713609
Illinois,17,39.7817213,-89.6501481,12812508,59075,461.0729,0.4610729,12830632,70828,552.0227,0.5520227,12419293,67820,570.3062,0.5703062
Indiana,18,40.2671941,-86.1349019,6785528,41962,618.4043,0.6184043,6483802,48694,751.01,0.75101,6080485,34676,800.8243,0.8008243
Iowa,19,41.8780025,-93.097702,3190369,13064,409.4824,0.4094824,3046355,13309,436.8828,0.4368828,2926324,11771,454.8027,0.4548027
Kansas,20,39.011902,-98.4842465,2937880,18204,619.6305,0.6196305,2853118,18009,631.2042,0.6312042,2688418,16703,669.8735,0.6698735
Kentucky,21,37.8393332,-84.2700179,4505836,38346,851.0296,0.8510296,4339367,41122,947.6497,0.9476497,4041769,28388,1017.426,1.017426
