"","state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","fips","percent_incarcerated_20","percent_incarcerated_10","percent_incarcerated_00"
"1","MA","Barnstable County",228996,213,215888,438,222230,266,25001,0.0930147251480375,0.202882976358112,0.119695810646627
"2","MA","Berkshire County",129026,188,131219,352,134953,279,25003,0.145707066792739,0.26825383519155,0.206738642342149
"3","MA","Bristol County",579200,885,548285,1318,534678,1058,25005,0.152796961325967,0.24038593067474,0.197876104870595
"4","MA","Dukes County",20600,15,16535,30,14987,34,25007,0.0728155339805825,0.181433323253704,0.226863281510643
"5","MA","Essex County",809829,2118,743159,1431,723419,1574,25009,0.261536694783714,0.192556370843924,0.217577918191256
"6","MA","Franklin County",71029,318,71372,176,71535,180,25011,0.447704458742204,0.246595303480356,0.251625078632837
"7","MA","Hampden County",465825,1031,463490,1544,456228,1888,25013,0.221327751838137,0.333124770760966,0.413828173632482
"8","MA","Hampshire County",162308,143,158080,250,152251,245,25015,0.0881040983808561,0.158147773279352,0.160918483294034
"9","MA","Middlesex County",1632002,3109,1503085,4429,1465396,4410,25017,0.190502217521792,0.294660647934082,0.300942543858452
"10","MA","Nantucket County",14255,0,10172,0,9520,0,25019,0,0,0
"11","MA","Norfolk County",725981,2381,670850,3612,650308,3213,25021,0.327970015744214,0.538421405679362,0.494073577443304
"12","MA","Plymouth County",530819,2667,494919,3576,472822,3765,25023,0.502431148847347,0.722542476647694,0.796282744880737
"13","MA","Suffolk County",797936,915,722023,2622,689807,2483,25025,0.114670850795051,0.363146326363565,0.359955755740374
"14","MA","Worcester County",862111,3986,798552,4905,750963,4118,25027,0.462353455645503,0.614236768551077,0.548362569127906
"15","CT","Fairfield County",957419,2492,916829,3108,882567,2900,9001,0.260283115334039,0.338994512608131,0.32858695147224
"16","CT","Hartford County",899498,5040,894014,6842,857183,5937,9003,0.560312529877776,0.76531240002953,0.692617562410827
"17","CT","Litchfield County",185186,21,189927,28,182193,0,9005,0.0113399501042195,0.01474250633138,0
"18","CT","Middlesex County",164245,28,165676,14,155071,0,9007,0.017047703126427,0.00845022815616022,0
"19","CT","New Haven County",864835,2239,862477,2603,824008,4172,9009,0.25889331490978,0.301805149586598,0.506305764021709
"20","CT","New London County",268555,2023,274055,3625,259088,3710,9011,0.753290759807116,1.32272718979767,1.43194590255048
"21","CT","Tolland County",149788,1300,152691,3356,136364,2762,9013,0.867893289182044,2.19790295433261,2.02546126543663
"22","CT","Windham County",116418,438,118428,483,109091,542,9015,0.376230479822708,0.407842739892593,0.496832919305901
"23","WV","Barbour County",15465,0,16589,0,15557,6,54001,0,0,0.0385678472713248
"24","WV","Berkeley County",122076,515,104169,122,75905,261,54003,0.421868344310102,0.117117376570765,0.343850866214347
"25","WV","Boone County",21809,0,24629,0,25535,0,54005,0,0,0
"26","WV","Braxton County",12447,370,14523,267,14702,468,54007,2.9726038402828,1.83846312745301,3.18324037545912
"27","WV","Brooke County",22559,0,24069,0,25447,0,54009,0,0,0
"28","WV","Cabell County",94350,621,96319,607,96784,246,54011,0.65818759936407,0.630197572649218,0.254174243676641
"29","WV","Calhoun County",6229,0,7627,0,7582,0,54013,0,0,0
"30","WV","Clay County",8051,0,9386,0,10330,0,54015,0,0,0
"31","WV","Doddridge County",7808,1127,8202,567,7403,0,54017,14.4339139344262,6.91294806144843,0
"32","WV","Fayette County",40488,1058,46039,1042,47579,997,54019,2.61311993677139,2.26329850778688,2.09546228378066
"33","WV","Gilmer County",7408,1440,8693,1773,7160,0,54021,19.438444924406,20.3957206948119,0
"34","WV","Grant County",10976,0,11937,0,11299,0,54023,0,0,0
"35","WV","Greenbrier County",32977,0,35480,213,34453,116,54025,0,0.600338218714769,0.336690563956695
"36","WV","Hampshire County",23093,251,23964,263,20203,109,54027,1.08690945308102,1.09747955266233,0.539523833094095
"37","WV","Hancock County",29095,0,30676,0,32667,12,54029,0,0,0.0367343190375608
"38","WV","Hardy County",14299,0,14025,0,12669,0,54031,0,0,0
"39","WV","Harrison County",65921,0,69099,23,68652,95,54033,0,0.0332855757681008,0.138379071257939
"40","WV","Jackson County",27791,0,29211,0,28000,8,54035,0,0,0.0285714285714286
"41","WV","Jefferson County",57701,0,53498,0,42190,0,54037,0,0,0
"42","WV","Kanawha County",180745,547,193063,452,200073,434,54039,0.302636310824642,0.234120468448123,0.216920823899277
"43","WV","Lewis County",17033,0,16372,0,16919,0,54041,0,0,0
"44","WV","Lincoln County",20463,0,21720,0,22108,0,54043,0,0,0
"45","WV","Logan County",32567,449,36743,258,37710,248,54045,1.37869622624129,0.702174563862504,0.657650490586051
"46","WV","McDowell County",19111,1881,22113,332,27329,95,54047,9.842499084297,1.50137927915706,0.347616085476966
"47","WV","Marion County",56205,0,56418,0,56598,112,54049,0,0,0.197886851125481
"48","WV","Marshall County",30591,582,33107,252,35519,355,54051,1.90252034912229,0.761168332980941,0.999465075030265
"49","WV","Mason County",25453,562,27324,446,25957,18,54053,2.20799119946568,1.63226467574294,0.0693454559463729
"50","WV","Mercer County",59664,0,62264,0,62980,5,54055,0,0,0.00793902826294062
"51","WV","Mineral County",26938,0,28212,0,27078,9,54057,0,0,0.0332373144249945
"52","WV","Mingo County",23568,0,26839,0,28253,0,54059,0,0,0
"53","WV","Monongalia County",105822,682,96189,1271,81866,1126,54061,0.644478463835497,1.321356911913,1.37541836659908
"54","WV","Monroe County",12376,0,13502,0,14583,1389,54063,0,0,9.52478913803744
"55","WV","Morgan County",17063,0,17541,0,14943,0,54065,0,0,0
"56","WV","Nicholas County",24604,0,26233,0,26562,0,54067,0,0,0
"57","WV","Ohio County",42425,71,44443,66,47427,73,54069,0.1673541543901,0.148504826406858,0.1539207624349
"58","WV","Pendleton County",6143,0,7695,0,8196,2,54071,0,0,0.0244021473889702
"59","WV","Pleasants County",7653,678,7605,558,7514,194,54073,8.85927087416699,7.33727810650888,2.58184721852542
"60","WV","Pocahontas County",7869,220,8719,246,9131,220,54075,2.79578091244122,2.82142447528386,2.40937465775928
"61","WV","Preston County",34216,3158,33520,2086,29334,19,54077,9.229600187047,6.22315035799523,0.0647712551987455
"62","WV","Putnam County",57440,0,55486,0,51589,0,54079,0,0,0
"63","WV","Raleigh County",74591,2298,78859,2775,79220,2541,54081,3.08080063278412,3.51893886557019,3.20752335268871
"64","WV","Randolph County",27932,1636,29405,1479,28262,888,54083,5.85708148360304,5.02975684407414,3.14202816502725
"65","WV","Ritchie County",8444,0,10449,0,10343,22,54085,0,0,0.212704244416514
"66","WV","Roane County",14028,0,14926,0,15446,0,54087,0,0,0
"67","WV","Summers County",11959,838,13927,1124,12999,0,54089,7.00727485575717,8.07065412508078,0
"68","WV","Taylor County",16705,352,16895,369,16089,275,54091,2.10715354684226,2.18407812962415,1.70924233948661
"69","WV","Tucker County",6762,0,7141,0,7321,0,54093,0,0,0
"70","WV","Tyler County",8313,0,9208,0,9592,9,54095,0,0,0.0938281901584654
"71","WV","Upshur County",23816,0,24254,0,23404,0,54097,0,0,0
"72","WV","Wayne County",38982,0,42481,0,42903,20,54099,0,0,0.0466167867048924
"73","WV","Webster County",8378,0,9154,0,9719,0,54101,0,0,0
"74","WV","Wetzel County",14442,0,16583,0,17693,0,54103,0,0,0
"75","WV","Wirt County",5194,0,5717,0,5873,24,54105,0,0,0.408649753107441
"76","WV","Wood County",84296,333,86956,0,87986,109,54107,0.395036537914017,0,0.123883345077626
"77","WV","Wyoming County",21382,0,23796,0,25708,0,54109,0,0,0
"78","VT","Addison County",37363,0,36821,19,35974,6,50001,0,0.0516009885663073,0.0166787124034025
"79","VT","Bennington County",37347,0,37125,0,36994,0,50003,0,0,0
"80","VT","Caledonia County",30233,122,31227,222,29702,235,50005,0.403532563754837,0.710923239504275,0.791192512288735
"81","VT","Chittenden County",168323,94,156545,166,146571,177,50007,0.0558450122680798,0.106039796863522,0.12076058701926
"82","VT","Essex County",5920,0,6306,0,6459,0,50009,0,0,0
